ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.021251586,1.021250609
16,33554432,536870912,0.919268487,0.919267103
32,16777216,536870912,0.886538790,0.886536779
64,8388608,536870912,0.812161691,0.812156032
128,4194304,536870912,0.732530385,0.732522789
256,2097152,536870912,0.659828355,0.659815842
512,1048576,536870912,0.669521364,0.669500691
1024,524288,536870912,0.622187067,0.622144109
2048,262144,536870912,0.622961615,0.622878067
4096,131072,536870912,0.637020079,0.636852545
8192,65536,536870912,0.629474746,0.629150891
16384,32768,536870912,0.626697969,0.626021046
32768,16384,536870912,0.637333466,0.635974411
65536,8192,536870912,0.637524444,0.634776868
131072,4096,536870912,0.636590501,0.631202419
262144,2048,536870912,0.654556036,0.643749271
524288,1024,536870912,0.705230142,0.683158102
1048576,512,536870912,0.808380431,0.763778566
2097152,256,536870912,1.019142967,0.929963800
4194304,128,536870912,1.186252471,1.006379590
8388608,64,536870912,1.399392248,1.040921165
16777216,32,536870912,1.773366657,1.056345512
33554432,16,536870912,2.485329102,1.052050978
67108864,8,536870912,3.904140682,1.042600013
134217728,4,536870912,6.762549749,1.039274071
268435456,2,536870912,12.459541327,1.036982082
536870912,1,536870912,72.484247906,49.218520983
