ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.002404624,1.002403778
16,33554432,536870912,0.897485434,0.897484180
32,16777216,536870912,0.883289027,0.883287313
64,8388608,536870912,0.809335792,0.809330034
128,4194304,536870912,0.738831537,0.738824087
256,2097152,536870912,0.687415883,0.687404137
512,1048576,536870912,0.635409221,0.635389488
1024,524288,536870912,0.622276894,0.622238031
2048,262144,536870912,0.624949886,0.624871619
4096,131072,536870912,0.634592412,0.634433308
8192,65536,536870912,0.620359192,0.620040869
16384,32768,536870912,0.621791037,0.621156435
32768,16384,536870912,0.631344253,0.630035604
65536,8192,536870912,0.637887503,0.635234366
131072,4096,536870912,0.642398154,0.637251547
262144,2048,536870912,0.651285720,0.640948080
524288,1024,536870912,0.711426732,0.690377612
1048576,512,536870912,0.810757350,0.768016539
2097152,256,536870912,1.002384982,0.917843534
4194304,128,536870912,1.183807391,1.011723343
8388608,64,536870912,1.395635946,1.054712084
16777216,32,536870912,1.741683142,1.059356683
33554432,16,536870912,2.427929172,1.064503096
67108864,8,536870912,3.790480591,1.058602240
134217728,4,536870912,6.504543354,1.049467632
268435456,2,536870912,11.941993570,1.044140990
536870912,1,536870912,71.831023591,49.707647098
