ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.979763389,0.979762513
16,33554432,536870912,0.908272415,0.908271043
32,16777216,536870912,0.887780741,0.887778968
64,8388608,536870912,0.796688224,0.796681720
128,4194304,536870912,0.742300086,0.742292306
256,2097152,536870912,0.660012047,0.659998146
512,1048576,536870912,0.631247307,0.631226417
1024,524288,536870912,0.654316325,0.654275378
2048,262144,536870912,0.625509136,0.625429502
4096,131072,536870912,0.631152762,0.630993411
8192,65536,536870912,0.623503258,0.623189969
16384,32768,536870912,0.621036408,0.620388980
32768,16384,536870912,0.624687782,0.623373596
65536,8192,536870912,0.641985083,0.639379541
131072,4096,536870912,0.642905427,0.637748895
262144,2048,536870912,0.654962440,0.644430106
524288,1024,536870912,0.721603557,0.700598052
1048576,512,536870912,0.821991193,0.779706171
2097152,256,536870912,1.018815024,0.933844219
4194304,128,536870912,1.234388149,1.064647760
8388608,64,536870912,1.429761979,1.081332034
16777216,32,536870912,1.759491363,1.071493470
33554432,16,536870912,2.450100215,1.068301749
67108864,8,536870912,3.827520982,1.070291327
134217728,4,536870912,6.546117174,1.061850650
268435456,2,536870912,11.935605239,1.043368567
536870912,1,536870912,71.833144204,49.518129582
