ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.701689150,0.701688269
16,33554432,536870912,0.725177712,0.725176430
32,16777216,536870912,0.740799525,0.740797837
64,8388608,536870912,0.671386744,0.671381096
128,4194304,536870912,0.679301378,0.679293777
256,2097152,536870912,0.491522687,0.491511107
512,1048576,536870912,0.474198517,0.474178705
1024,524288,536870912,0.501832850,0.501792481
2048,262144,536870912,0.533143247,0.533057115
4096,131072,536870912,0.568105540,0.567947618
8192,65536,536870912,0.554226300,0.553896549
16384,32768,536870912,0.600302557,0.599652754
32768,16384,536870912,0.586302127,0.584973762
65536,8192,536870912,0.534428939,0.531793431
131072,4096,536870912,0.525161891,0.519783567
262144,2048,536870912,0.517404210,0.506799236
524288,1024,536870912,0.510303781,0.488971553
1048576,512,536870912,0.503293586,0.461185471
2097152,256,536870912,0.613565631,0.528916955
4194304,128,536870912,0.814571027,0.644048916
8388608,64,536870912,1.034105164,0.693515798
16777216,32,536870912,1.393519667,0.709444520
33554432,16,536870912,2.071806224,0.705568650
67108864,8,536870912,3.442018896,0.712563784
134217728,4,536870912,6.152869742,0.702697565
268435456,2,536870912,11.560241788,0.690686013
536870912,1,536870912,33.868401871,11.614203196
