=== Experiment 2: Approach1 (Deferred Insertion) – Parallel Scalability ===
NX,NY,Threads,Serial_Mover,Parallel_Mover,Speedup,Serial_Total,Parallel_Total
250,100,2,3.987860,0.286655,13.911728,4.526676,0.812599
250,100,4,3.987860,0.176948,22.536957,4.526676,0.807931
250,100,8,3.987860,0.117116,34.050549,4.526676,0.744037
250,100,16,3.987860,0.090695,43.969830,4.526676,0.583895
500,200,2,3.948585,0.236793,16.675228,4.501583,0.765047
500,200,4,3.948585,0.169545,23.289334,4.501583,0.751987
500,200,8,3.948585,0.108542,36.378468,4.501583,0.616017
500,200,16,3.948585,0.088364,44.685212,4.501583,0.591787
1000,400,2,3.611852,0.233180,15.489513,4.326221,1.299659
1000,400,4,3.611852,0.154589,23.364191,4.326221,1.157146
1000,400,8,3.611852,0.109554,32.968828,4.326221,1.027252
1000,400,16,3.611852,0.089177,40.501929,4.326221,0.817538
