=== Experiment 1: Approach2 (Immediate Replacement) (Serial) ===
NX,NY,Particles,Interp_Time,Mover_Time,Total_Time
250,100,100,0.000138,0.000033,0.000171
250,100,10000,0.000538,0.003309,0.003847
250,100,1000000,0.034808,0.245650,0.280458
250,100,100000000,3.639209,24.583142,28.222351
500,200,100,0.000270,0.000026,0.000296
500,200,10000,0.000484,0.002522,0.003006
500,200,1000000,0.035108,0.242028,0.277137
500,200,100000000,3.818423,24.648362,28.466785
1000,400,100,0.000921,0.000026,0.000947
1000,400,10000,0.001222,0.002482,0.003704
1000,400,1000000,0.046385,0.237460,0.283845
1000,400,100000000,5.155679,24.421880,29.577559
