=== Experiment 2: No Insert/Delete (Assign-04) – Parallel Scalability ===
NX,NY,Threads,Serial_Mover,Parallel_Mover,Speedup
250,100,2,3.362527,0.305637,11.001688
250,100,4,3.362527,0.185733,18.104109
250,100,8,3.362527,0.113929,29.514362
250,100,16,3.362527,0.093525,35.953166
500,200,2,3.309766,0.306653,10.793205
500,200,4,3.309766,0.192687,17.176873
500,200,8,3.309766,0.113908,29.056391
500,200,16,3.309766,0.094966,34.852017
1000,400,2,3.353202,0.267849,12.519017
1000,400,4,3.353202,0.178935,18.739736
1000,400,8,3.353202,0.113829,29.458361
1000,400,16,3.353202,0.090038,37.242064
