=== Hardware Metrics (Memory & FLOPs) ===
    NX     NY      Num_Pts  Pts_RAM(MB) Grid_RAM(KB)  Total_RAM(MB)     GFLOPs        PPC
   250    100          100         0.00       202.81           0.20      0.000        0.0
   250    100        10000         0.16       202.81           0.36      0.003        0.4
   250    100      1000000        16.00       202.81          16.20      0.340       40.0
   250    100    100000000      1600.00       202.81        1600.20     34.000     4000.0
   250    100   1000000000     16000.00       202.81       16000.20    340.000    40000.0
   500    200          100         0.00       805.61           0.81      0.000        0.0
   500    200        10000         0.16       805.61           0.97      0.003        0.1
   500    200      1000000        16.00       805.61          16.81      0.340       10.0
   500    200    100000000      1600.00       805.61        1600.81     34.000     1000.0
   500    200   1000000000     16000.00       805.61       16000.81    340.000    10000.0
  1000    400          100         0.00      3211.21           3.21      0.000        0.0
  1000    400        10000         0.16      3211.21           3.37      0.003        0.0
  1000    400      1000000        16.00      3211.21          19.21      0.340        2.5
  1000    400    100000000      1600.00      3211.21        1603.21     34.000      250.0
  1000    400   1000000000     16000.00      3211.21       16003.21    340.000     2500.0
