=== Experiment 1: Approach1 (Deferred Insertion) (Serial) ===
NX,NY,Particles,Interp_Time,Mover_Time,Total_Time
250,100,100,0.000137,0.000034,0.000171
250,100,10000,0.000547,0.003407,0.003954
250,100,1000000,0.046331,0.346933,0.393263
250,100,100000000,3.464711,26.645140,30.109851
500,200,100,0.000327,0.000034,0.000362
500,200,10000,0.000643,0.003378,0.004021
500,200,1000000,0.037285,0.265271,0.302556
500,200,100000000,3.564299,26.094445,29.658744
1000,400,100,0.000924,0.000026,0.000950
1000,400,10000,0.001226,0.002578,0.003803
1000,400,1000000,0.047456,0.249867,0.297323
1000,400,100000000,5.179160,26.344266,31.523426
