=== Experiment 2: Approach2 (Immediate Replacement) – Parallel Scalability ===
NX,NY,Threads,Serial_Mover,Parallel_Mover,Speedup,Serial_Total,Parallel_Total
250,100,2,3.772877,0.321955,11.718662,4.318352,0.814951
250,100,4,3.772877,0.219428,17.194141,4.318352,0.767316
250,100,8,3.772877,0.121010,31.178208,4.318352,0.669059
250,100,16,3.772877,0.091312,41.318371,4.318352,0.577997
500,200,2,3.375901,0.304674,11.080381,3.882909,0.800245
500,200,4,3.375901,0.216967,15.559541,3.882909,0.858246
500,200,8,3.375901,0.127343,26.510360,3.882909,0.765332
500,200,16,3.375901,0.088910,37.969736,3.882909,0.601107
1000,400,2,3.358454,0.396019,8.480531,4.066359,1.483777
1000,400,4,3.358454,0.220267,15.247220,4.066359,0.981695
1000,400,8,3.358454,0.123338,27.229764,4.066359,1.195559
1000,400,16,3.358454,0.087873,38.219467,4.066359,0.842584
